orf,strand,frame,start,length,gc_content,stop_codon
orf0062,+,0,87954,342,0.506,TAA
orf0063,+,1,88888,1029,0.451,TAA
orf0064,+,0,90150,1809,0.524,TGA
orf0065,+,2,91961,492,0.494,TGA
orf0066,+,1,92746,891,0.554,TAA
orf0067,+,2,92987,405,0.553,TGA
orf0068,+,2,94238,459,0.523,TAA
orf0069,+,0,94599,1041,0.543,TGA
orf0070,+,2,95636,366,0.505,TAA
orf0071,+,2,96017,1767,0.537,TAA
orf0072,+,0,97842,1416,0.561,TGA
orf0073,+,2,99254,1359,0.547,TAG
orf0074,+,1,100606,1083,0.531,TAA
orf0075,+,0,101691,1317,0.552,TGA
orf0076,+,2,103007,1245,0.529,TGA
orf0077,+,1,104248,1068,0.56,TAA
orf0078,+,0,105369,1476,0.546,TGA
orf0079,+,1,106837,921,0.517,TAA
orf0080,+,2,107759,831,0.535,TGA
orf0081,+,1,108586,1263,0.523,TAA
orf0082,+,1,109909,1152,0.543,TAA
orf0083,+,2,111161,918,0.512,TAA
orf0084,+,1,112378,444,0.55,TAA
orf0085,+,2,112883,2706,0.522,TAA
orf0086,+,1,115648,399,0.484,TAA
orf0087,+,2,117932,1044,0.51,TAA
orf0088,+,2,123221,552,0.54,TGA
orf0089,+,1,123769,855,0.52,TAA
orf0090,+,1,126580,765,0.554,TAG
orf0091,+,2,127505,2664,0.531,TAA
orf0092,+,1,130183,1893,0.547,TAA
orf0093,+,1,132280,1428,0.525,TAA
orf0094,+,0,134922,336,0.524,TGA
orf0095,+,2,135833,2751,0.553,TAA
orf0096,+,0,138711,411,0.526,TAA
orf0097,+,1,141454,1551,0.542,TAA
orf0098,+,2,145790,549,0.499,TAA
orf0099,+,0,147150,927,0.493,TGA
orf0100,+,2,148073,771,0.51,TAA
orf0101,+,1,148948,441,0.492,TAA
orf0102,+,1,149452,1230,0.493,TAA
orf0103,+,1,151339,897,0.486,TAA
orf0104,+,2,153008,375,0.579,TAA
orf0105,+,2,157475,423,0.496,TAG
orf0106,+,1,163702,414,0.522,TAG
orf0107,+,1,166381,2475,0.566,TAA
orf0108,+,1,169051,2535,0.549,TAA
orf0109,+,1,171805,2244,0.516,TAA
orf0110,+,2,172508,393,0.511,TAG
orf0111,+,0,174099,798,0.568,TGA
orf0112,+,2,174896,891,0.545,TGA
orf0113,+,1,175858,1908,0.603,TAA
orf0114,+,2,177929,414,0.575,TAG
orf0115,+,2,178877,417,0.453,TAA
orf0116,+,1,179305,1422,0.541,TGA
orf0117,+,1,180808,345,0.51,TAA
orf0118,+,0,183435,1518,0.478,TAA
orf0119,+,0,185082,1425,0.538,TAA
orf0120,+,1,186661,1158,0.528,TAG
orf0121,+,2,192284,300,0.503,TAG
orf0122,+,0,193359,726,0.514,TAA
orf0123,+,2,194342,852,0.498,TAA
orf0124,+,1,195340,726,0.529,TAA
orf0125,+,0,196251,522,0.515,TGA
orf0126,+,1,196864,1197,0.526,TGA
orf0127,+,0,198249,759,0.497,TGA
orf0128,+,0,199128,750,0.504,TAA
orf0129,+,2,199889,1353,0.508,TGA
orf0130,+,1,201271,2433,0.505,TAA
orf0131,+,1,203740,570,0.496,TAA
orf0132,+,1,204313,1026,0.529,TAA
orf0133,+,0,206253,438,0.548,TAA
orf0134,+,2,206690,1149,0.537,TGA
orf0135,+,1,207835,597,0.566,TGA
orf0136,+,1,208468,3483,0.55,TAA
orf0137,+,1,211963,960,0.529,TAA
orf0138,+,0,213021,2142,0.51,TAA
orf0139,+,1,213199,540,0.502,TGA
orf0140,+,2,215219,390,0.518,TAA
orf0141,+,0,215673,1296,0.586,TAG
orf0142,+,2,217634,459,0.547,TAG
orf0143,+,1,218176,411,0.545,TAA
orf0144,+,2,218600,711,0.523,TAA
orf0145,+,2,220421,309,0.515,TAG
orf0146,+,1,221614,378,0.532,TAA
orf0147,+,1,226276,462,0.509,TGA
orf0148,+,1,232495,804,0.464,TAA
orf0149,+,0,234471,780,0.523,TAA
orf0150,+,2,235328,771,0.49,TAA
orf0151,+,2,236159,321,0.511,TAA
orf0152,+,0,238365,723,0.492,TAA
orf0153,+,0,239607,741,0.511,TAA
orf0154,+,0,240885,801,0.423,TAA
orf0155,+,0,247032,606,0.584,TAA
orf0156,+,0,248544,336,0.562,TAA
orf0157,+,2,250304,615,0.605,TAG
orf0158,+,0,251997,315,0.59,TGA
orf0159,+,1,252037,651,0.605,TGA
orf0160,+,1,252796,555,0.591,TAG
orf0161,+,0,252996,315,0.584,TAG
orf0162,+,0,255252,345,0.551,TGA
orf0163,+,1,258817,426,0.547,TAA
orf0164,+,0,259479,315,0.53,TAA
orf0165,+,0,264132,519,0.539,TAA
orf0166,+,2,264860,2142,0.556,TGA
orf0167,+,2,267077,4215,0.612,TAG
orf0168,+,0,269811,336,0.649,TGA
orf0169,+,1,271294,612,0.379,TAG
orf0170,+,0,272244,300,0.267,TAA
orf0171,+,2,272651,1137,0.418,TAA
orf0172,+,0,272832,405,0.422,TAA
orf0173,+,1,274234,1317,0.542,TAG
orf0174,+,1,276475,894,0.378,TAA
orf0175,+,1,278410,474,0.502,TAA
orf0176,+,0,279117,540,0.554,TAG
orf0177,+,1,279745,483,0.536,TGA
orf0178,+,1,280885,420,0.569,TAA
orf0179,+,0,281448,741,0.487,TAA
orf0180,+,2,282293,768,0.527,TGA
orf0181,+,0,284652,774,0.522,TAG
orf0182,+,1,286216,1032,0.584,TAA
orf0183,+,1,287515,450,0.576,TAA
orf0184,+,2,288209,504,0.522,TAA
orf0185,+,0,288783,1056,0.539,TGA
orf0186,+,2,290186,399,0.431,TGA
orf0187,+,2,290594,453,0.442,TAA
orf0188,+,2,292193,789,0.527,TAA
orf0189,+,1,293863,459,0.516,TAA
orf0190,+,2,294413,1245,0.534,TAA
orf0191,+,2,295715,402,0.5,TGA
orf0192,+,0,297498,1104,0.558,TAA
orf0193,+,2,298613,1254,0.547,TAA
orf0194,+,2,303011,354,0.463,TGA
orf0195,+,1,303397,609,0.443,TGA
orf0196,+,0,304020,300,0.537,TGA
orf0197,+,2,304316,312,0.462,TGA
orf0198,+,1,304609,813,0.481,TAA
orf0199,+,0,305421,594,0.493,TAG
orf0200,+,2,306854,591,0.497,TGA
orf0201,+,0,309099,744,0.352,TGA
orf0202,+,2,310754,1233,0.448,TAA
orf0203,+,1,312379,618,0.306,TAA
orf0204,+,0,312996,459,0.318,TGA
orf0205,+,1,313429,651,0.286,TAA
orf0206,+,0,314700,567,0.339,TAA
orf0207,+,1,318445,558,0.529,TGA
orf0208,+,2,319220,324,0.556,TAA
orf0209,+,0,319500,2391,0.523,TAA
orf0210,+,2,324653,723,0.497,TGA
orf0211,+,2,327581,1149,0.533,TAA
orf0212,+,2,328805,1194,0.572,TAG
orf0213,+,2,330125,321,0.604,TGA
orf0214,+,0,331350,324,0.586,TAG
orf0215,+,1,331441,345,0.574,TAA
orf0216,+,1,335398,615,0.452,TAA
orf0217,+,2,341687,495,0.558,TAG
orf0218,+,1,345448,381,0.517,TGA
orf0219,+,0,345825,348,0.586,TAA
orf0220,+,1,346222,1539,0.585,TAA
orf0221,+,2,350963,990,0.429,TGA
orf0222,+,1,352951,456,0.491,TAA
orf0223,+,2,353930,4254,0.524,TAA
orf0224,+,1,359395,885,0.432,TGA
orf0225,+,0,362940,855,0.506,TGA
orf0226,+,1,364372,669,0.513,TGA
orf0227,+,2,365051,1428,0.501,TAA
orf0228,+,0,366324,843,0.518,TGA
orf0229,+,1,373426,621,0.565,TAA
orf0230,+,2,375101,528,0.591,TGA
orf0231,+,2,377126,2034,0.554,TGA
orf0232,+,2,379667,4050,0.495,TGA
orf0233,+,2,383858,1089,0.458,TGA
orf0234,+,1,386776,606,0.46,TAA
orf0235,+,1,387676,609,0.452,TAA
orf0236,+,2,388274,1548,0.559,TGA
orf0237,+,1,389821,1419,0.586,TGA
orf0238,+,1,391258,465,0.551,TAA
orf0239,+,2,391754,951,0.567,TAA
orf0240,+,2,392714,1383,0.563,TGA
orf0241,+,0,394395,411,0.45,TAG
orf0242,+,1,395056,987,0.479,TAA
orf0243,+,1,396463,1113,0.509,TGA
orf0244,+,2,397568,972,0.508,TGA
orf0245,+,1,398536,957,0.515,TAA
orf0246,+,0,399579,1050,0.533,TGA
orf0247,+,1,399985,300,0.587,TGA
orf0248,+,2,400871,816,0.39,TAG
orf0249,+,2,405380,891,0.562,TAA
orf0250,+,1,406426,1170,0.56,TAA
orf0251,+,2,406748,312,0.574,TGA
orf0252,+,1,407629,1452,0.561,TAA
orf0253,+,1,409120,1887,0.582,TAA
orf0254,+,2,409691,450,0.602,TGA
orf0255,+,0,411978,1182,0.538,TAA
orf0256,+,1,413134,1299,0.533,TGA
orf0257,+,2,415883,351,0.59,TAA
orf0258,+,0,415947,321,0.567,TGA
orf0259,+,2,416264,471,0.52,TGA
orf0260,+,1,416740,1182,0.58,TGA
orf0261,+,1,420832,312,0.596,TGA
orf0262,+,2,420956,396,0.556,TAA
orf0263,+,2,424592,339,0.507,TAA
orf0264,+,1,426799,327,0.492,TAA
orf0265,+,1,427210,1665,0.569,TGA
orf0266,+,2,428876,945,0.572,TGA
orf0267,+,1,429823,882,0.543,TAA
orf0268,+,1,430714,810,0.556,TGA
orf0269,+,0,431520,951,0.547,TGA
orf0270,+,2,432467,1014,0.565,TAA
orf0271,+,0,433611,1257,0.57,TGA
orf0272,+,2,434153,330,0.561,TAA
orf0273,+,2,434969,540,0.476,TAA
orf0274,+,2,436892,771,0.537,TGA
orf0275,+,0,438969,333,0.486,TAG
orf0276,+,0,444090,360,0.575,TAG
orf0277,+,1,446233,963,0.56,TAA
orf0278,+,1,447208,768,0.564,TGA
orf0279,+,0,447972,828,0.587,TGA
orf0280,+,2,448796,852,0.542,TAA
orf0281,+,0,451254,2943,0.467,TAA
orf0282,+,0,454239,669,0.404,TAA
orf0283,+,0,456417,1221,0.509,TAA
orf0284,+,0,457650,1095,0.532,TGA
orf0285,+,2,461600,1341,0.539,TAA
orf0286,+,0,463041,339,0.478,TGA
orf0287,+,2,463481,1116,0.539,TGA
orf0288,+,0,464760,756,0.542,TAG
orf0289,+,2,465542,459,0.56,TAA
orf0290,+,1,466183,525,0.524,TGA
orf0291,+,1,467206,678,0.466,TAA
orf0292,+,2,468383,2280,0.423,TGA
orf0293,+,1,470659,450,0.449,TAG
orf0294,+,2,471602,318,0.5,TGA
orf0295,+,2,472103,1035,0.544,TAA
orf0296,+,1,479122,690,0.543,TAA
orf0297,+,1,480055,1110,0.532,TAA
orf0298,+,2,481571,1320,0.556,TAA
orf0299,+,2,482966,1374,0.528,TAA
orf0300,+,1,484495,1818,0.547,TAA
orf0301,+,2,486500,1446,0.368,TAG
orf0302,+,0,488640,1071,0.542,TAA
orf0303,+,1,489034,318,0.56,TAG
orf0304,+,0,489765,1128,0.514,TAA
orf0305,+,1,490915,333,0.495,TAA
orf0306,+,1,491308,1815,0.534,TGA
orf0307,+,2,493088,1017,0.519,TAA
orf0308,+,0,494859,348,0.471,TGA
orf0309,+,0,497256,450,0.509,TAA
orf0310,+,0,497727,1086,0.562,TGA
orf0311,+,1,498850,522,0.523,TGA
orf0312,+,1,499888,978,0.547,TAA
orf0313,+,2,500843,516,0.529,TAA
orf0314,+,0,505860,384,0.549,TAA
orf0315,+,0,506571,402,0.537,TAA
orf0316,+,1,507601,1449,0.518,TAA
orf0317,+,0,509157,633,0.57,TGA
orf0318,+,1,509467,309,0.589,TAA
orf0319,+,0,510717,510,0.496,TAA
orf0320,+,1,512044,348,0.537,TAG
orf0321,+,0,514350,381,0.514,TAG
orf0322,+,1,514744,432,0.519,TAG
orf0323,+,1,515560,441,0.517,TGA
orf0324,+,1,516718,300,0.52,TGA
orf0325,+,2,517361,306,0.451,TAA
orf0326,+,2,518708,438,0.537,TAA
orf0327,+,2,519596,600,0.53,TAA
orf0328,+,0,520491,351,0.481,TAA
orf0329,+,1,521185,1299,0.51,TAA
orf0330,+,2,522728,624,0.503,TGA
orf0331,+,1,523477,1275,0.517,TAA
orf0332,+,2,524939,2355,0.522,TAG
orf0333,+,2,527966,1872,0.52,TAA
orf0334,+,2,529988,372,0.546,TAA
orf0335,+,2,530465,399,0.459,TAA
orf0336,+,0,533475,819,0.51,TAA
orf0337,+,1,534445,459,0.521,TAA
orf0338,+,0,535020,1686,0.54,TAG
orf0339,+,1,536593,1887,0.561,TGA
orf0340,+,1,538660,339,0.51,TAA
orf0341,+,0,539028,1287,0.554,TAA
orf0342,+,0,540639,495,0.545,TAA
orf0343,+,1,541441,573,0.543,TAA
orf0344,+,2,542339,339,0.516,TAA
orf0345,+,0,542736,354,0.497,TAG
orf0346,+,1,548680,363,0.543,TGA
orf0347,+,2,551825,648,0.449,TAA
orf0348,+,0,552600,3363,0.519,TAA
orf0349,+,0,556776,378,0.524,TGA
orf0350,+,2,557306,552,0.538,TAA
orf0351,+,1,557986,1932,0.576,TGA
orf0352,+,2,559970,330,0.518,TGA
orf0353,+,1,560299,606,0.573,TAA
orf0354,+,2,561014,1875,0.527,TGA
orf0355,+,2,563009,705,0.506,TAA
orf0356,+,1,563845,963,0.539,TAA
orf0357,+,1,565915,1305,0.52,TAA
orf0358,+,1,567280,405,0.533,TGA
orf0359,+,1,570703,1653,0.508,TAA
orf0360,+,2,573953,396,0.432,TAA
orf0361,+,0,574554,648,0.585,TGA
orf0362,+,0,575274,486,0.595,TGA
orf0363,+,0,576168,453,0.578,TAA
orf0364,+,0,577329,933,0.537,TGA
orf0365,+,2,578264,1293,0.538,TAA
orf0366,+,1,578308,324,0.583,TGA
orf0367,+,0,579894,1356,0.515,TAA
orf0368,+,0,581352,4386,0.588,TAG
orf0369,+,1,584491,336,0.616,TGA
orf0370,+,0,587409,14412,0.612,TAG
orf0371,+,0,601824,2163,0.571,TGA
orf0372,+,2,603983,1176,0.568,TGA
orf0373,+,1,605155,408,0.564,TGA
orf0374,+,0,606651,480,0.502,TAA
orf0375,+,0,607656,363,0.441,TAA
orf0376,+,2,608654,324,0.543,TGA
orf0377,+,1,609715,678,0.454,TAA
orf0378,+,2,610352,807,0.465,TGA
orf0379,+,1,611155,801,0.579,TAA
orf0380,+,0,613359,372,0.559,TGA
orf0381,+,2,613529,687,0.569,TGA
orf0382,+,1,614212,2415,0.578,TGA
orf0383,+,1,617056,4197,0.611,TAA
orf0384,+,2,625043,483,0.507,TGA
orf0385,+,1,625603,816,0.531,TAG
orf0386,+,0,626508,1782,0.536,TAA
orf0387,+,0,628302,777,0.449,TAA
orf0388,+,1,629179,879,0.506,TGA
orf0389,+,1,630226,1392,0.476,TGA
orf0390,+,1,631654,891,0.534,TAG
orf0391,+,1,632551,465,0.49,TAA
orf0392,+,0,633072,1302,0.514,TAA
orf0393,+,0,634395,1146,0.564,TGA
orf0394,+,1,639187,1668,0.559,TAA
orf0395,+,1,640864,1260,0.572,TGA
orf0396,+,2,642134,816,0.566,TGA
orf0397,+,0,642318,312,0.58,TAA
orf0398,+,1,642946,894,0.569,TAG
orf0399,+,0,643842,357,0.569,TGA
orf0400,+,1,644314,309,0.566,TAA
orf0401,+,2,645044,312,0.593,TAA
orf0402,+,1,647062,1386,0.547,TAA
orf0403,+,2,650663,543,0.446,TAA
orf0404,+,2,651425,693,0.421,TAA
orf0405,+,2,652148,2610,0.477,TAA
orf0406,+,2,654770,1008,0.451,TGA
orf0407,+,0,655662,642,0.506,TAA
orf0408,+,1,659533,303,0.574,TAG
orf0409,+,1,666586,939,0.608,TGA
orf0410,+,0,668937,531,0.606,TGA
orf0411,+,0,670893,948,0.588,TAA
orf0412,+,1,671608,372,0.567,TAG
orf0413,+,1,672271,369,0.545,TAA
orf0414,+,1,673837,474,0.582,TAG
orf0415,+,1,674356,948,0.58,TGA
orf0416,+,0,676896,318,0.541,TAA
orf0417,+,1,677608,438,0.562,TAA
orf0418,+,1,678259,1383,0.514,TAA
orf0419,+,0,679665,333,0.453,TAA
orf0420,+,0,680013,1224,0.559,TGA
orf0421,+,2,681248,3138,0.553,TAA
orf0422,+,1,684637,1227,0.533,TAA
orf0423,+,1,687361,558,0.522,TAA
orf0424,+,1,691870,390,0.533,TGA
orf0425,+,1,693040,384,0.544,TAA
orf0426,+,1,693457,561,0.565,TAA
orf0427,+,0,694470,1125,0.543,TGA
orf0428,+,1,695686,4008,0.563,TAA
orf0429,+,2,698513,330,0.576,TGA
orf0430,+,2,698939,546,0.571,TGA
orf0431,+,0,699909,1134,0.446,TAA
orf0432,+,2,701321,378,0.566,TAA
orf0433,+,2,702035,474,0.565,TGA
orf0434,+,1,703531,372,0.57,TAG
orf0435,+,2,703955,1251,0.582,TAA
orf0436,+,1,706354,1176,0.563,TAA
orf0437,+,1,707539,1611,0.557,TGA
orf0438,+,2,709163,858,0.552,TAA
orf0439,+,1,710020,747,0.577,TAA
orf0440,+,0,710769,414,0.582,TGA
orf0441,+,0,711363,2106,0.568,TAA
orf0442,+,1,715054,1161,0.542,TAG
orf0443,+,1,719134,306,0.379,TAA
orf0444,+,0,720414,564,0.5,TAA
orf0445,+,2,721076,1596,0.525,TAA
orf0446,+,0,723441,1239,0.504,TGA
orf0447,+,1,723742,303,0.508,TGA
orf0448,+,2,724760,462,0.511,TAA
orf0449,+,0,726123,306,0.48,TAA
orf0450,+,2,729356,777,0.573,TGA
orf0451,+,2,730286,465,0.568,TAA
orf0452,+,1,732217,405,0.541,TAA
orf0453,+,1,732682,300,0.513,TAA
orf0454,+,2,733589,1659,0.5,TGA
orf0455,+,0,735216,681,0.507,TGA
orf0456,+,1,737911,561,0.465,TGA
orf0457,+,2,739385,789,0.541,TGA
orf0458,+,2,740807,849,0.516,TAA
orf0459,+,0,741204,420,0.536,TAG
orf0460,+,1,746218,438,0.55,TGA
orf0461,+,1,747982,879,0.534,TAA
orf0462,+,2,749636,444,0.586,TAA
orf0463,+,0,753525,1680,0.54,TAA
orf0464,+,0,755346,654,0.534,TAG
orf0465,+,1,756376,483,0.526,TAA
orf0466,+,0,757272,588,0.469,TAA
orf0467,+,0,758070,708,0.453,TGA
orf0468,+,2,758774,1428,0.472,TGA
orf0469,+,1,760867,708,0.479,TGA
orf0470,+,0,761571,453,0.45,TAA
orf0471,+,0,762186,837,0.481,TGA
orf0472,+,1,768562,342,0.456,TAA
orf0473,+,0,771111,420,0.512,TAA
orf0474,+,1,771658,312,0.522,TAG
orf0475,+,1,773134,567,0.54,TGA
orf0476,+,2,773354,483,0.532,TAA
orf0477,+,0,774273,429,0.569,TAG
orf0478,+,1,775261,1176,0.563,TAG
orf0479,+,1,779965,435,0.501,TAA
orf0480,+,0,780876,756,0.54,TGA
orf0481,+,2,782021,378,0.54,TAA
orf0482,+,0,782526,321,0.517,TGA
orf0483,+,1,782938,543,0.488,TAA
orf0484,+,0,783966,1947,0.548,TAA
orf0485,+,1,786115,1665,0.524,TAA
orf0486,+,0,788358,480,0.502,TAG
orf0487,+,2,788855,909,0.515,TGA
orf0488,+,0,789813,327,0.495,TAA
orf0489,+,2,791111,384,0.492,TGA
orf0490,+,1,792274,387,0.512,TGA
orf0491,+,2,793010,546,0.493,TAA
orf0492,+,0,793581,1641,0.551,TAA
orf0493,+,1,797356,348,0.48,TGA
orf0494,+,2,802121,402,0.565,TAA
orf0495,+,1,802873,306,0.565,TAA
orf0496,+,2,803774,876,0.574,TGA
orf0497,+,0,804528,564,0.582,TGA
orf0498,+,1,805693,327,0.563,TAA
orf0499,+,0,805806,492,0.561,TGA
orf0500,+,1,806947,342,0.515,TAG
orf0501,+,0,808008,4200,0.595,TGA
orf0502,+,0,812232,543,0.374,TAA
orf0503,+,0,814542,405,0.422,TAA
orf0504,+,2,814640,858,0.432,TAA
orf0505,+,0,815646,510,0.5,TGA
orf0506,+,2,816152,1419,0.537,TAA
orf0507,+,1,819472,744,0.535,TAA
orf0508,+,2,820355,540,0.57,TGA
orf0509,+,1,820888,933,0.558,TGA
orf0510,+,2,821810,735,0.567,TAA
orf0511,+,1,822580,792,0.521,TAG
orf0512,+,1,825103,471,0.497,TAG
orf0513,+,2,826409,750,0.556,TAA
orf0514,+,2,830423,306,0.51,TGA
orf0515,+,2,831806,405,0.489,TAA
orf0516,+,1,832204,348,0.517,TGA
orf0517,+,0,832551,1767,0.559,TAA
orf0518,+,0,834333,717,0.517,TAA
orf0519,+,0,835350,2802,0.556,TAA
orf0520,+,2,838166,1218,0.557,TAG
orf0521,+,2,839477,1167,0.548,TAA
orf0522,+,1,840643,870,0.53,TAA
orf0523,+,1,842179,906,0.445,TAA
orf0524,+,1,846244,423,0.447,TAG
orf0525,+,0,847281,603,0.532,TGA
orf0526,+,1,847429,342,0.547,TAG
orf0527,+,0,850965,378,0.458,TGA
orf0528,+,2,852137,396,0.535,TAA
orf0529,+,1,852799,369,0.509,TAA
orf0530,+,0,855960,1572,0.529,TAA
orf0531,+,0,857547,1140,0.539,TAA
orf0532,+,2,859667,684,0.501,TAA
orf0533,+,2,860354,429,0.515,TAA
orf0534,+,0,861006,1026,0.526,TAA
orf0535,+,0,862161,1296,0.533,TGA
orf0536,+,1,863491,522,0.513,TAA
orf0537,+,1,864022,792,0.495,TAA
orf0538,+,1,865948,1044,0.509,TAA
orf0539,+,2,867029,720,0.478,TAA
orf0540,+,1,867097,390,0.487,TGA
orf0541,+,1,868843,372,0.519,TAA
orf0542,+,0,869496,1053,0.516,TAA
orf0543,+,2,872957,318,0.557,TGA
orf0544,+,2,873545,657,0.521,TAG
orf0545,+,2,875066,723,0.544,TAA
orf0546,+,2,876212,543,0.508,TAA
orf0547,+,0,878961,774,0.505,TAA
orf0548,+,2,879734,690,0.541,TAA
orf0549,+,1,880426,1059,0.534,TGA
orf0550,+,2,882458,996,0.546,TAA
orf0551,+,0,884631,1053,0.487,TGA
orf0552,+,0,885759,1434,0.499,TAA
orf0553,+,2,887375,2262,0.512,TAA
orf0554,+,2,892907,603,0.386,TGA
orf0555,+,2,895700,357,0.541,TGA
orf0556,+,1,896392,624,0.492,TGA
orf0557,+,0,897012,666,0.45,TGA
orf0558,+,1,899245,768,0.452,TAA
orf0559,+,1,900181,759,0.364,TAA
orf0560,+,1,902020,498,0.514,TGA
orf0561,+,0,902514,468,0.517,TGA
orf0562,+,2,903332,306,0.572,TAG
orf0563,+,0,903417,390,0.479,TGA
orf0564,+,1,903796,492,0.516,TAA
orf0565,+,0,904287,2103,0.545,TGA
orf0566,+,1,905206,363,0.523,TAA
orf0567,+,1,906598,1053,0.54,TAA
orf0568,+,2,907745,363,0.545,TAA
orf0569,+,0,907956,2124,0.514,TAA
orf0570,+,2,910166,324,0.512,TGA
orf0571,+,2,910769,579,0.56,TGA
orf0572,+,1,911332,414,0.536,TAA
orf0573,+,2,911687,813,0.555,TAA
orf0574,+,2,912557,390,0.528,TGA
orf0575,+,1,912955,330,0.558,TGA
orf0576,+,2,913256,3066,0.535,TAA
orf0577,+,1,916321,330,0.524,TAG
orf0578,+,1,916660,699,0.561,TAA
orf0579,+,0,917364,744,0.591,TAA
orf0580,+,2,918005,648,0.593,TGA
orf0581,+,2,918713,3414,0.563,TGA
orf0582,+,0,922197,600,0.542,TGA
orf0583,+,2,922856,1317,0.582,TGA
orf0584,+,0,923145,426,0.559,TAG
orf0585,+,0,924054,390,0.492,TAA
orf0586,+,2,924620,981,0.338,TAA
orf0587,+,2,925634,1020,0.438,TGA
orf0588,+,1,927481,882,0.399,TAG
orf0589,+,0,928593,699,0.441,TAG
orf0590,+,1,930529,489,0.575,TGA
orf0591,+,0,931188,327,0.557,TAG
orf0592,+,2,931709,1041,0.542,TGA
orf0593,+,1,932746,1155,0.579,TAA
orf0594,+,2,933848,795,0.565,TAA
orf0595,+,0,934929,384,0.552,TAG
orf0596,+,2,935891,2022,0.53,TGA
orf0597,+,0,939339,1059,0.539,TAA
orf0598,+,0,940419,513,0.52,TAA
orf0599,+,2,940934,486,0.562,TAA
orf0600,+,1,941659,453,0.572,TAG
orf0601,+,1,942166,786,0.477,TAA
orf0602,+,1,943159,714,0.423,TAG
orf0603,+,2,945494,450,0.562,TAG
orf0604,+,1,946438,468,0.515,TAG
orf0605,+,1,946996,411,0.545,TGA
orf0606,+,2,948473,333,0.544,TAA
orf0607,+,1,949669,441,0.544,TAG
orf0608,+,0,953238,1368,0.563,TAA
orf0609,+,1,954004,327,0.535,TGA
orf0610,+,1,955213,2013,0.348,TAA
orf0611,+,2,957509,2151,0.538,TAA
orf0612,+,2,959687,963,0.558,TAA
orf0613,+,1,960790,1086,0.558,TAA
orf0614,+,2,960956,453,0.574,TGA
orf0615,+,0,962541,312,0.49,TGA
orf0616,+,0,965103,735,0.55,TGA
orf0617,+,2,966782,927,0.543,TAA
orf0618,+,1,968440,681,0.511,TAA
orf0619,+,1,969511,327,0.569,TGA
orf0620,+,0,970497,339,0.499,TAG
orf0621,+,2,972707,486,0.494,TGA
orf0622,+,1,974755,516,0.514,TAA
orf0623,+,1,977488,468,0.532,TGA
orf0624,+,0,977952,1119,0.522,TAA
orf0625,+,0,979290,372,0.556,TAA
